"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Congo, Dem. Rep.","COD","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14405073","14891638","15314736","15796859","16704510","17465634","17601352","17663144","17977226","18460193","18975987","19562128","20180065","20775768","21399274","22085662","22533507","22982376","23412172","23828069","24281010","24782462","25253938","26114416","27010854","27914047","28894271","29891274","30832021","31758674","32201440","33381845",
"Congo, Rep.","COG","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","911503","938942","966663","996930","1027598","1056699","1086530","1106424","1128643","1162701","1220811","1279766","1310783","1351050","1405115","1464221","1527304","1589465","1642711","1713546","1788679","1842541","1885561","1920341","1957458","1997379","2041236","2089737","2141489","2196167","2185693","2268090",
"Colombia","COL","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13856618","14200059","14593761","15034238","15502313","15968243","16364171","16805273","17179502","17419996","17858301","18268713","18395452","19043694","19031652","19268759","19586033","19444239","19990542","21314015","22128149","22789274","23525350","23805205","24245416","24759082","25039982","25528732","26010171","26304741","24932942","26137054",
"Comoros","COM","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97428","100016","102412","104641","106900","109286","111846","114544","117365","119676","121385","123136","124910","127402","130933","136156","141521","147019","152664","158474","164449","170591","176900","183361","189967","195075","200277","205229","209766","214143","214135","219946",
"Cabo Verde","CPV","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","117314","119739","122947","126725","130856","135206","139679","144278","148916","153547","158242","163105","167902","172648","177374","182123","187348","192644","197940","203149","207953","212201","216564","221054","225675","230226","234563","238942","228380","239571","225235","234338",
"Costa Rica","CRI","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1166225","1182040","1199255","1255519","1305626","1370420","1363273","1460486","1546631","1594177","1619332","1727162","1762911","1819682","1828417","1943857","1977908","2050045","2078889","2099430","2060686","2087906","2256538","2271071","2318515","2305155","2223154","2271234","2381451","2495105","2379542","2426145",
"Caribbean small states","CSS","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2364960","2385235","2415035","2439797","2472747","2508009","2535726","2571846","2605353","2628584","2660344","2683817","2717167","2757840","2857701","2909115","2951673","2991517","3034884","3029931","3026352","3057396","3109380","3168055","3207922","3237248","3303493","3338554","3364163","3412418","3272802","3356998",
"Cuba","CUB","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4379791","4391240","4388825","4365413","4389009","4412582","4450776","4477094","4501738","4549359","4598454","4639968","4676389","4722816","4778099","4850846","4923605","4976049","5012770","5148033","5108192","5177768","5205318","5233702","5255899","5288603","5304552","5321919","5337234","5342133","5091625","5134764",
"Curacao","CUW","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
